bedrooms,beds,Price,n_person
1.0,1.0,190.0,2
1.0,1.0,250.0,2
2.0,3.0,136.0,4
3.0,3.0,170.0,4
1.0,1.0,131.0,2
2.0,3.0,220.0,4
3.0,5.0,175.0,4
,2.0,175.0,2
1.0,1.0,88.0,2
3.0,3.0,150.0,4
,1.0,103.0,2
2.0,3.0,150.0,4
4.0,6.0,150.0,5
1.0,2.0,99.0,2
2.0,2.0,190.0,4
1.0,1.0,203.0,2
4.0,5.0,325.0,8
4.0,8.0,499.0,5
2.0,2.0,299.0,4
2.0,3.0,450.0,4
2.0,2.0,115.0,4
,,70.0,2
1.0,1.0,82.0,2
,3.0,160.0,4
1.0,3.0,120.0,4
2.0,,130.0,4
1.0,1.0,110.0,2
4.0,6.0,300.0,8
3.0,3.0,185.0,4
1.0,1.0,120.0,2
1.0,2.0,185.0,2
1.0,1.0,130.0,2
1.0,1.0,95.0,1
1.0,,70.0,3
2.0,3.0,195.0,4
1.0,1.0,100.0,2
2.0,2.0,200.0,4
3.0,3.0,292.0,4
,1.0,133.0,2
3.0,4.0,260.0,4
1.0,1.0,136.0,2
1.0,1.0,84.0,3
1.0,4.0,160.0,4
1.0,1.0,100.0,2
2.0,3.0,170.0,4
2.0,4.0,600.0,4
1.0,1.0,115.0,2
1.0,1.0,109.0,2
,2.0,85.0,4
1.0,5.0,82.0,4
3.0,5.0,220.0,4
2.0,3.0,199.0,4
3.0,3.0,305.0,4
1.0,1.0,71.0,3
4.0,4.0,260.0,4
2.0,2.0,245.0,4
1.0,1.0,69.0,2
1.0,1.0,104.0,2
1.0,3.0,128.0,4
1.0,2.0,71.0,2
2.0,1.0,139.0,2
2.0,2.0,115.0,3
1.0,1.0,99.0,2
1.0,2.0,250.0,4
1.0,1.0,104.0,2
4.0,4.0,230.0,4
1.0,2.0,69.0,3
1.0,1.0,125.0,2
1.0,2.0,125.0,3
1.0,1.0,97.0,2
2.0,3.0,325.0,4
4.0,4.0,360.0,6
1.0,1.0,250.0,2
1.0,1.0,141.0,2
1.0,2.0,205.0,4
1.0,1.0,121.0,4
1.0,,320.0,4
1.0,1.0,61.0,1
1.0,1.0,98.0,2
1.0,1.0,98.0,2
1.0,1.0,129.0,2
1.0,2.0,99.0,2
1.0,1.0,175.0,2
2.0,2.0,239.0,4
4.0,5.0,195.0,5
3.0,2.0,179.0,4
,1.0,113.0,2
3.0,3.0,250.0,4
2.0,2.0,149.0,3
2.0,2.0,107.0,4
1.0,1.0,149.0,2
3.0,4.0,185.0,4
,,114.0,2
1.0,1.0,119.0,2
2.0,2.0,132.0,2
3.0,5.0,150.0,4
2.0,4.0,150.0,4
1.0,1.0,120.0,2
1.0,1.0,214.0,2
1.0,1.0,100.0,2
2.0,3.0,75.0,3
1.0,3.0,225.0,3
1.0,1.0,336.0,2
,2.0,83.0,2
